,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
55,Large oceanic planktivores,,,,,,,,,1.01,1.01,,,1.208,,2.1621,3.9657,,2.0531,,,,,,,,,,,,,,,,,,,,,,,,,2.0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Oceanic planktivores,1.01,2.3784,1.01,4.419,3.8366,3.4373,1.5705,1.4527,1.01,1.01,,,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,,1.1853,,,,1.9974,,,,,,,,,,1.01,1.01,1.9873,,,,,,2.0636,4.7571,1.01,1.7189,1.01,,,1.01,,,,,1.9645,5.3138,2.3702,,,,,,,,,,,,,,,,,
57,Sardine-herring-scad,1.01,2.3784,1.01,4.419,3.8366,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,1.01,1.1853,1.073,1.943,1.01,1.9974,1.9205,1.01,1.01,2.8314,1.1757,1.2123,6.2365,1.01,2.5905,1.01,1.01,1.9873,1.01,2.3648,1.01,2.3945,1.01,2.0636,4.7571,1.01,1.7189,1.01,,2.1951,1.01,,1.2555,,1.01,,,2.3702,,,,,,,,,2.5923,,,,1.01,,,,
58,Menhaden (yr),,,,4.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,2.3945,1.01,,4.7571,,,1.01,1.01,2.1951,,,,,,,,,,,,,,,,,,,,,,,,,
59,Menhaden (1yr),1.01,,,4.419,3.8366,3.4373,1.5705,1.4527,1.01,,1.6491,1.8438,,,2.1621,,,2.0531,1.4382,1.01,1.1853,1.073,1.943,1.01,,1.9205,1.01,,,,,,,,,,,,,1.01,2.3945,1.01,2.0636,4.7571,,,1.01,1.01,2.1951,,,,,,,,,,,,,,,,,,,,,,,,,
60,Menhaden (2yr),1.01,,,4.419,3.8366,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,1.01,1.1853,1.073,1.943,1.01,,1.9205,1.01,,,,,,,,,,,,,1.01,2.3945,1.01,2.0636,4.7571,,,1.01,1.01,2.1951,,,,,,,,,,,,,,,,,,,,,,,,,
61,Menhaden (3yr),1.01,,,4.419,3.8366,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,1.01,1.1853,1.073,1.943,1.01,,1.9205,1.01,,,,,,,,,,,,,1.01,2.3945,1.01,2.0636,4.7571,,,1.01,1.01,2.1951,,,,,,,,,,,,,,,,,,,,,,,,,
62,Menhaden (4yr),1.01,,,4.419,3.8366,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,1.01,1.1853,1.073,1.943,1.01,,1.9205,1.01,,,,,,,,,,,,,1.01,2.3945,1.01,2.0636,4.7571,,,1.01,1.01,2.1951,,,,,,,,,,,,,,,,,,,,,,,,,
63,Anchovy-silverside-killifish,1.01,2.3784,1.01,4.419,3.8366,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,1.01,1.1853,1.073,1.943,1.01,1.9974,1.9205,,1.01,,1.1757,,6.2365,1.01,2.5905,1.01,1.01,1.9873,,2.3648,1.01,2.3945,1.01,2.0636,4.7571,1.01,1.7189,1.01,1.01,2.1951,,,1.2555,,1.01,,,2.3702,,,,,,2.4938,,,2.5923,,,,1.01,,,,
64,Mullet,1.01,,,4.419,3.8366,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,,2.0531,1.4382,1.01,1.1853,1.073,1.943,1.01,1.9974,,1.01,,,,,6.2365,,,,,,,2.3648,1.01,2.3945,1.01,2.0636,4.7571,1.01,,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,1.01,,,,
